
list-none-m,1,1000,1,3000,1723489,574,24
list-none-s,1,1000,1,3000,1721298,573,23
list-none-m,2,1000,1,6000,11776610,1962,1897
list-none-s,2,1000,1,6000,7486725,1247,1196
list-none-m,4,1000,1,12000,43559235,3629,10636
list-none-s,4,1000,1,12000,47742078,3978,12040
list-none-m,8,1000,1,24000,194575514,8107,56155
list-none-s,8,1000,1,24000,190012485,7917,55605
list-none-m,12,1000,1,36000,517473646,14374,157064
list-none-s,12,1000,1,36000,185531741,5153,38528
list-none-m,16,1000,1,48000,1015137123,21148,315801
list-none-s,16,1000,1,48000,417125884,8690,94219
list-none-m,24,1000,1,72000,2561512278,35576,815938
list-none-s,24,1000,1,72000,1176347414,16338,279593
list-none-m,1,1000,1,3000,1782484,594,24
list-none-m,2,1000,1,6000,11930584,1988,1924
list-none-m,4,1000,1,12000,41002178,3416,10071
list-none-m,8,1000,1,24000,195788287,8157,56453
list-none-m,16,1000,1,48000,1030832433,21475,320645
list-none-m,24,1000,1,72000,2582592960,35869,822625
list-id-none,1,1,4,3,226312,75437,0
list-id-none,1,2,4,6,200156,33359,0
list-id-none,1,4,4,12,179089,14924,0
list-id-none,1,8,4,24,191415,7975,0
list-id-none,1,16,4,48,204510,4260,0
list-id-none,4,2,4,24,232895,9703,0
list-id-none,8,2,4,48,1139603,23741,0
list-id-none,12,2,4,72,439624,6105,0
list-id-none,16,2,4,96,917547,9557,0
list-id-s,1,10,4,30,176612,5887,37
list-id-s,1,20,4,60,211889,3531,31
list-id-s,1,40,4,120,234387,1953,27
list-id-s,1,80,4,240,293589,1223,25
list-id-m,1,10,4,30,200381,6679,77
list-id-m,1,20,4,60,220325,3672,50
list-id-m,1,40,4,120,264875,2207,38
list-id-m,1,80,4,240,332932,1387,30
list-id-s,4,10,4,120,288433,2403,564
list-id-s,4,20,4,240,266825,1111,645
list-id-s,4,40,4,480,392151,816,800
list-id-s,4,80,4,960,685102,713,880
list-id-m,4,10,4,120,330001,2750,1423
list-id-m,4,20,4,240,340268,1417,1276
list-id-m,4,40,4,480,478267,996,1088
list-id-m,4,80,4,960,818838,852,1099
list-id-s,8,10,4,240,612867,2553,152
list-id-s,8,20,4,480,436591,909,1734
list-id-s,8,40,4,960,775742,808,2639
list-id-s,8,80,4,1920,1339445,697,3078
list-id-m,8,10,4,240,450765,1878,3417
list-id-m,8,20,4,480,543857,1133,3220
list-id-m,8,40,4,960,858578,894,2785
list-id-m,8,80,4,1920,1679806,874,3636
list-id-s,16,10,4,480,1256472,2617,279
list-id-s,16,20,4,960,823624,857,5258
list-id-s,16,40,4,1920,1619920,843,7930
list-id-s,16,80,4,3840,3431869,893,10228
list-id-m,16,10,4,480,719490,1498,7047
list-id-m,16,20,4,960,1070405,1115,7815
list-id-m,16,40,4,1920,1755907,914,8425
list-id-m,16,80,4,3840,3423982,891,9922
list-id-s,12,10,4,360,1176835,3268,749
list-id-s,12,20,4,720,1175234,1632,1942
list-id-s,12,40,4,1440,1014216,704,4114
list-id-s,12,80,4,2880,2071489,719,5869
list-id-m,12,10,4,360,512229,1422,4337
list-id-m,12,20,4,720,862011,1197,6289
list-id-m,12,40,4,1440,1324096,919,5974
list-id-m,12,80,4,2880,2383140,827,6188
list-none-m,1,1000,1,3000,1825422,608,25
list-none-m,1,1000,4,3000,853898,284,24
list-none-m,1,1000,8,3000,680769,226,24
list-none-m,1,1000,16,3000,603201,201,25
list-none-s,1,1000,1,3000,1737416,579,31
list-none-s,1,1000,4,3000,746681,248,23
list-none-s,1,1000,8,3000,589572,196,21
list-none-s,1,1000,16,3000,476107,158,26
list-none-m,2,1000,1,6000,10880675,1813,1602
list-none-m,2,1000,4,6000,5645970,940,535
list-none-m,2,1000,8,6000,4081311,680,301
list-none-m,2,1000,16,6000,2677026,446,192
list-none-s,2,1000,1,6000,7905695,1317,1387
list-none-s,2,1000,4,6000,5955566,992,390
list-none-s,2,1000,8,6000,3472414,578,177
list-none-s,2,1000,16,6000,2053306,342,123
list-none-m,4,1000,1,12000,44652662,3721,10936
list-none-m,4,1000,4,12000,11483889,956,1837
list-none-m,4,1000,8,12000,6195108,516,796
list-none-m,4,1000,16,12000,4416114,368,430
list-none-s,4,1000,1,12000,40447221,3370,10251
list-none-s,4,1000,4,12000,13200585,1100,1931
list-none-s,4,1000,8,12000,7140891,595,732
list-none-s,4,1000,16,12000,4231278,352,323
list-none-m,8,1000,1,24000,194652769,8110,56175
list-none-m,8,1000,4,24000,29693252,1237,6413
list-none-m,8,1000,8,24000,13307914,554,2316
list-none-m,8,1000,16,24000,7349892,306,989
list-none-s,8,1000,1,24000,109923389,4580,26894
list-none-s,8,1000,4,24000,25185814,1049,5512
list-none-s,8,1000,8,24000,11244130,468,1937
list-none-s,8,1000,16,24000,6134594,255,887
list-none-m,16,1000,1,48000,1064476972,22176,331216
list-none-m,16,1000,4,48000,104647780,2180,27493
list-none-m,16,1000,8,48000,39924446,831,9011
list-none-m,16,1000,16,48000,19010675,396,3675
list-none-s,16,1000,1,48000,465085480,9689,106626
list-none-s,16,1000,4,48000,91732114,1911,24492
list-none-s,16,1000,8,48000,33114175,689,7660
list-none-s,16,1000,16,48000,15850130,330,3290
