
list-none-none,1,1,1,3,298359,99453
list-none-none,1,10,1,30,294981,9832
list-none-none,1,100,1,300,320924,1069
list-none-none,1,1000,1,3000,2430491,810
list-none-none,1,10000,1,30000,420267180,14008
list-none-none,1,20000,1,60000,1744110337,29068
list-none-none,2,1,1,6,359700,59950
list-none-none,2,10,1,60,328533,5475
list-none-none,2,1000,1,6000,10817492,1802
list-none-none,4,1,1,12,491319,40943
list-none-none,4,10,1,120,431121,3592
list-none-none,8,1,1,24,1589286,66220
list-none-none,8,10,1,240,631346,2630
list-none-none,12,1,1,36,1366395,37955
list-none-none,12,10,1,360,1348419,3745
list-i-none,2,1,1,6,309405,51567
list-d-none,2,1,1,6,309788,51631
list-il-none,2,1,1,6,349339,58223
list-dl-none,2,1,1,6,288966,48161
list-d-none,2,2,1,12,282797,23566
list-dl-none,2,2,1,12,347453,28954
list-i-none,2,4,1,24,238794,9949
list-d-none,2,4,1,24,239936,9997
list-il-none,2,4,1,24,251769,10490
list-dl-none,2,4,1,24,249014,10375
list-i-none,2,8,1,48,251986,5249
list-d-none,2,8,1,48,252375,5257
list-il-none,2,8,1,48,260361,5424
list-dl-none,2,8,1,48,243910,5081
list-il-none,2,32,1,192,327333,1704
list-i-none,4,1,1,12,415371,34614
list-d-none,4,1,1,12,356136,29678
list-il-none,4,1,1,12,456345,38028
list-dl-none,4,1,1,12,394543,32878
list-i-none,8,1,1,24,1455729,60655
list-il-none,8,1,1,24,788659,32860
list-i-none,8,2,1,48,1267133,26398
list-d-none,8,4,1,96,1137800,11852
list-i-none,12,1,1,36,1560309,43341
list-d-none,12,1,1,36,792338,22009
list-il-none,12,1,1,36,1415968,39332
list-dl-none,12,1,1,36,1223198,33977
list-i-m,12,1,1,36,2877570,79932
list-d-m,12,1,1,36,1580412,43900
list-il-m,12,1,1,36,1294467,35957
list-dl-m,12,1,1,36,1171238,32534
list-i-s,12,1,1,36,1304039,36223
list-d-s,12,1,1,36,1216603,33794
list-il-s,12,1,1,36,1455558,40432
list-dl-s,12,1,1,36,1227733,34103
list-i-m,12,2,1,72,1351491,18770
list-d-m,12,2,1,72,783494,10881
list-il-m,12,2,1,72,1977037,27458
list-dl-m,12,2,1,72,1276035,17722
list-i-s,12,2,1,72,713794,9913
list-d-s,12,2,1,72,1447883,20109
list-il-s,12,2,1,72,766467,10645
list-dl-s,12,2,1,72,1380715,19176
list-i-m,12,4,1,144,634219,4404
list-d-m,12,4,1,144,1324317,9196
list-il-m,12,4,1,144,1429437,9926
list-dl-m,12,4,1,144,752384,5224
list-i-s,12,4,1,144,1239568,8608
list-d-s,12,4,1,144,1486987,10326
list-il-s,12,4,1,144,1371184,9522
list-dl-s,12,4,1,144,711616,4941
list-i-m,12,8,1,288,825660,2866
list-d-m,12,8,1,288,927802,3221
list-il-m,12,8,1,288,2815774,9776
list-dl-m,12,8,1,288,2276062,7902
list-i-s,12,8,1,288,741865,2575
list-d-s,12,8,1,288,1177024,4086
list-il-s,12,8,1,288,1427029,4954
list-dl-s,12,8,1,288,1304321,4528
list-i-m,12,16,1,576,1335095,2317
list-d-m,12,16,1,576,1543034,2678
list-il-m,12,16,1,576,1662963,2887
list-dl-m,12,16,1,576,2529190,4390
list-i-s,12,16,1,576,1665131,2890
list-d-s,12,16,1,576,753945,1308
list-il-s,12,16,1,576,1474953,2560
list-dl-s,12,16,1,576,942998,1637
list-i-m,12,32,1,1152,2058883,1787
list-d-m,12,32,1,1152,2596831,2254
list-il-m,12,32,1,1152,3206050,2783
list-dl-m,12,32,1,1152,4036502,3503
list-i-s,12,32,1,1152,1267047,1099
list-d-s,12,32,1,1152,1821026,1580
list-il-s,12,32,1,1152,3028718,2629
list-dl-s,12,32,1,1152,2817884,2446
list-none-m,1,1000,1,3000,2585084,861
list-none-s,1,1000,1,3000,2510523,836
list-none-m,2,1000,1,6000,16238189,2706
list-none-s,2,1000,1,6000,10357672,1726
list-none-m,4,1000,1,12000,56331910,4694
list-none-s,4,1000,1,12000,38829062,3235
list-none-m,8,1000,1,24000,259014917,10792
list-none-s,8,1000,1,24000,199108222,8296
list-none-m,16,1000,1,48000,1244632242,25929
list-none-s,16,1000,1,48000,1458504008,30385
list-none-m,24,1000,1,72000,2726751218,37871
list-none-s,24,1000,1,72000,4990488381,69312
