
add-none,2,100,400,453015,1132,0
add-none,2,1000,4000,425251,106,0
add-none,2,10000,40000,606822,15,3427
add-none,2,100000,400000,7305129,18,2699
add-none,4,100,800,570137,712,31
add-none,4,1000,8000,498342,62,185
add-none,4,10000,80000,3099131,38,3387
add-none,4,100000,800000,7603320,9,-7701
add-none,8,100,1600,1600766,1000,0
add-none,8,1000,16000,738888,46,-280
add-none,8,10000,160000,1479544,9,-7838
add-none,8,100000,1600000,12499241,7,-4724
add-none,12,100,2400,1463756,609,0
add-none,12,1000,24000,1285166,53,605
add-none,12,10000,240000,2497221,10,-14740
add-none,12,100000,2400000,21454401,8,-198183
add-yield-none,2,10,40,421888,10547,0
add-yield-none,2,20,80,468181,5852,0
add-yield-none,2,40,160,462102,2888,12
add-yield-none,2,80,320,552732,1727,9
add-yield-none,2,100,400,592810,1482,13
add-yield-none,2,1000,4000,2589458,647,17
add-yield-none,2,10000,40000,20532828,513,0
add-yield-none,2,100000,400000,206581806,516,-1084
add-yield-none,4,10,80,601554,7519,13
add-yield-none,4,20,160,557304,3483,12
add-yield-none,4,40,320,586213,1831,11
add-yield-none,4,80,640,630265,984,49
add-yield-none,4,100,800,641568,801,50
add-yield-none,4,1000,8000,2467844,308,46
add-yield-none,4,10000,80000,20723053,259,-207
add-yield-none,4,100000,800000,204769844,255,-3126
add-yield-none,8,10,160,767164,4794,15
add-yield-none,8,20,320,813326,2541,33
add-yield-none,8,40,640,741111,1157,72
add-yield-none,8,80,1280,775581,605,52
add-yield-none,8,100,1600,926701,579,105
add-yield-none,8,1000,16000,2590124,161,133
add-yield-none,8,10000,160000,20879286,130,152
add-yield-none,8,100000,1600000,220506391,137,7
add-yield-none,12,10,240,892231,3717,20
add-yield-none,12,20,480,1750848,3647,65
add-yield-none,12,40,960,1487487,1549,109
add-yield-none,12,80,1920,832673,433,101
add-yield-none,12,100,2400,961805,400,-17
add-yield-none,12,1000,24000,3246540,135,-338
add-yield-none,12,10000,240000,27542629,114,-5830
add-yield-none,12,100000,2400000,273410177,113,-40149
add-yield-m,2,10000,40000,76105578,1902,0
add-yield-c,2,10000,40000,41495284,1037,0
add-yield-s,2,1000,4000,4353726,1088,0
add-yield-m,4,10000,80000,153170768,1914,0
add-yield-c,4,10000,80000,81853342,1023,0
add-yield-s,4,1000,8000,9805888,1225,0
add-yield-m,8,10000,160000,377581143,2359,0
add-yield-c,8,10000,160000,158870857,992,0
add-yield-s,8,1000,16000,23173500,1448,0
add-yield-m,12,10000,240000,604352273,2518,0
add-yield-c,12,10000,240000,226497343,943,0
add-yield-s,12,1000,24000,65987536,2749,0
add-m,1,10000,20000,1030745,51,0
add-c,1,10000,20000,749106,37,0
add-s,1,10000,20000,743834,37,0
add-none,1,10000,20000,488228,24,0
add-m,2,10000,40000,4903836,122,0
add-c,2,10000,40000,4816758,120,0
add-s,2,10000,40000,6851886,171,0
add-none,2,10000,40000,644315,16,1002
add-m,4,10000,80000,15588290,194,0
add-c,4,10000,80000,9391810,117,0
add-s,4,10000,80000,13878556,173,0
add-none,4,10000,80000,1725147,21,-236
add-m,8,10000,160000,24990423,156,0
add-c,8,10000,160000,19357832,120,0
add-s,8,10000,160000,74543284,465,0
add-none,8,10000,160000,3813097,23,18
add-m,12,10000,240000,33579364,139,0
add-c,12,10000,240000,29823294,124,0
add-s,12,10000,240000,148261551,617,0
add-none,12,10000,240000,2495837,10,-22945
add-none,1,1,2,387812,193906,0
add-none,1,10,20,395288,19764,0
add-none,1,100,200,385716,1928,0
add-none,1,1000,2000,361876,180,0
add-none,1,50000,100000,958503,9,0
add-none,1,100000,200000,1575568,7,0
add-none,1,500000,1000000,6380511,6,0
add-none,1,1000000,2000000,12343657,6,0
